ds;Open;High;Low;Vol.;Change %;Year;Month;Day;unique_id;Day name;y
2022-12-27 00:00:00;6559.63;6579.33;6543.26;33.01M;0.007;2022;12;27;3086;3;6550.66
2022-12-28 00:00:00;6561.5;6572.12;6505.67;40.11M;-0.0061;2022;12;28;3087;4;6510.49
2022-12-29 00:00:00;6486.65;6577.08;6474.73;41.26M;0.0097;2022;12;29;3088;5;6573.47
2022-12-30 00:00:00;6533.12;6540.51;6470.64;42.84M;-0.0152;2022;12;30;3089;6;6473.76
2022-12-31 00:00:00;6533.12;6540.51;6470.64;42.84M;-0.0152;2022;12;30;3090;6;6511.400875
2023-01-01 00:00:00;6533.12;6540.51;6470.64;42.84M;-0.0152;2022;12;30;3091;6;6554.926649
2023-01-02 00:00:00;6521.07;6601.11;6518.21;47.39M;0.0187;2023;1;2;3092;2;6594.57
2023-01-03 00:00:00;6580.09;6696.1;6580.09;73.99M;0.0044;2023;1;3;3093;3;6623.89
2023-01-04 00:00:00;6660.6;6780.83;6659.83;94.39M;0.023;2023;1;4;3094;4;6776.43
2023-01-05 00:00:00;6744.5;6792.09;6732.04;71.67M;-0.0022;2023;1;5;3095;5;6761.5
2023-01-06 00:00:00;6772.94;6860.95;6757.46;69.52M;0.0147;2023;1;6;3096;6;6860.95
2023-01-07 00:00:00;6772.94;6860.95;6757.46;69.52M;0.0147;2023;1;6;3097;6;6893.996192
2023-01-08 00:00:00;6772.94;6860.95;6757.46;69.52M;0.0147;2023;1;6;3098;6;6909.157431
2023-01-09 00:00:00;6861.59;6928.43;6851.66;78.53M;0.0068;2023;1;9;3099;2;6907.36
2023-01-10 00:00:00;6882.01;6885.44;6845.81;64.47M;-0.0055;2023;1;10;3100;3;6869.14
2023-01-11 00:00:00;6879.1;6946.67;6874.71;76.44M;0.008;2023;1;11;3101;4;6924.19
2023-01-12 00:00:00;6947.34;7015.7;6946.3;82.17M;0.0074;2023;1;12;3102;5;6975.68
2023-01-13 00:00:00;6989.59;7035.82;6977.86;76.36M;0.0069;2023;1;13;3103;6;7023.5
2023-01-14 00:00:00;6989.59;7035.82;6977.86;76.36M;0.0069;2023;1;13;3104;6;7042.621947
2023-01-15 00:00:00;6989.59;7035.82;6977.86;76.36M;0.0069;2023;1;13;3105;6;7037.527899
2023-01-16 00:00:00;7036.48;7052.52;7016.32;56.44M;0.0028;2023;1;16;3106;2;7043.31
2023-01-17 00:00:00;7036.91;7104.9;7020.82;82.34M;0.0048;2023;1;17;3107;3;7077.16
2023-01-18 00:00:00;7073.62;7115.2;7072.45;68.10M;0.0009;2023;1;18;3108;4;7083.39
2023-01-19 00:00:00;7047.64;7056.14;6946.74;80.49M;-0.0186;2023;1;19;3109;5;6951.87
2023-01-20 00:00:00;6996.22;7015.96;6965.45;64.03M;0.0063;2023;1;20;3110;6;6995.99
2023-01-21 00:00:00;6996.22;7015.96;6965.45;64.03M;0.0063;2023;1;20;3111;6;7007.700468
2023-01-22 00:00:00;6996.22;7015.96;6965.45;64.03M;0.0063;2023;1;20;3112;6;7018.652669
2023-01-23 00:00:00;7014.91;7044.51;6988.51;51.11M;0.0052;2023;1;23;3113;2;7032.02
2023-01-24 00:00:00;7053.04;7064.69;7011.4;57.82M;0.0026;2023;1;24;3114;3;7050.48
2023-01-25 00:00:00;7057.82;7070.84;6999.93;55.62M;-0.0009;2023;1;25;3115;4;7043.88
2023-01-26 00:00:00;7095.11;7117.53;7078.02;68.51M;0.0074;2023;1;26;3116;5;7095.99
2023-01-27 00:00:00;7085.47;7117.48;7062.69;68.17M;0.0002;2023;1;27;3117;6;7097.21
2023-01-28 00:00:00;7085.47;7117.48;7062.69;68.17M;0.0002;2023;1;27;3118;6;7091.777571
2023-01-29 00:00:00;7085.47;7117.48;7062.69;68.17M;0.0002;2023;1;27;3119;6;7085.937928
2023-01-30 00:00:00;7054.24;7103.66;7030.95;60.63M;-0.0021;2023;1;30;3120;2;7082.01
2023-01-31 00:00:00;7075.09;7088.97;7025.53;78.06M;0.0001;2023;1;31;3121;3;7082.42
2023-02-01 00:00:00;7087.2;7110.21;7059.61;63.65M;-0.0007;2023;2;1;3122;4;7077.11
2023-02-02 00:00:00;7110.03;7184.69;7079.41;95.95M;0.0126;2023;2;2;3123;5;7166.27
